timestamp,equipment_id,equipment_type,downtime_minutes,reason,severity
2026-05-25T21:00:00,COAT-01,film_coating,92,Mechanical seal replacement,MEDIUM
2026-05-27T05:00:00,COAT-01,film_coating,31,Scheduled preventive maintenance,LOW
2026-05-17T06:00:00,COAT-02,film_coating,84,HVAC interlock trip,MEDIUM
2026-06-06T18:00:00,COAT-02,film_coating,32,Mechanical seal replacement,LOW
2026-06-04T04:00:00,COAT-02,film_coating,32,CIP cleaning cycle,LOW
2026-06-10T16:00:00,COAT-02,film_coating,98,Power fluctuation recovery,MEDIUM
2026-06-10T17:00:00,GRAN-01,wet_granulation,126,Thermostat calibration drift,HIGH
2026-05-30T05:00:00,GRAN-01,wet_granulation,75,Scheduled preventive maintenance,MEDIUM
2026-05-22T16:00:00,GRAN-01,wet_granulation,52,Mechanical seal replacement,LOW
2026-06-10T01:00:00,GRAN-01,wet_granulation,150,Mechanical seal replacement,HIGH
2026-05-27T08:00:00,GRAN-01,wet_granulation,115,Scheduled preventive maintenance,MEDIUM
2026-05-15T16:00:00,GRAN-02,wet_granulation,38,Thermostat calibration drift,LOW
2026-06-06T07:00:00,GRAN-02,wet_granulation,93,Mechanical seal replacement,MEDIUM
2026-05-31T07:00:00,COMPRESS-01,tablet_compression,44,Power fluctuation recovery,LOW
2026-05-19T19:00:00,COMPRESS-01,tablet_compression,102,Thermostat calibration drift,MEDIUM
2026-05-23T14:00:00,COMPRESS-01,tablet_compression,103,CIP cleaning cycle,MEDIUM
2026-05-17T04:00:00,COMPRESS-01,tablet_compression,92,CIP cleaning cycle,MEDIUM
2026-06-03T19:00:00,COAT-02,film_coating,145,Thermostat calibration drift,HIGH
